,phone_names,Links
0,"REDMI 10A (Charcoal Black, 64 GB)",https://www.flipkart.com/redmi-10a-charcoal-black-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYVFTQKBTR&lid=LSTMOBGHXQYVFTQKBTRCWN1LZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQYVFTQKBTR.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
1,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-purple-mist-128-gb/p/itm3440833915be9?pid=MOBG9QWVVTFZB2SY&lid=LSTMOBG9QWVVTFZB2SYI8KELP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBG9QWVVTFZB2SY.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
2,"REDMI 10A (Sea Blue, 64 GB)",https://www.flipkart.com/redmi-10a-sea-blue-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYZRHMKQJ5&lid=LSTMOBGHXQYZRHMKQJ5QEMHLG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQYZRHMKQJ5.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
3,"Redmi 9A Sport (Coral Green, 32 GB)",https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CJZZRCJ3XHG&lid=LSTMOBG7CJZZRCJ3XHG6ABCCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBG7CJZZRCJ3XHG.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
4,"REDMI 10A (Slate Grey, 32 GB)",https://www.flipkart.com/redmi-10a-slate-grey-32-gb/p/itm755830dd54ae1?pid=MOBGDRGQXGRHUJS2&lid=LSTMOBGDRGQXGRHUJS2UT74ZB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGDRGQXGRHUJS2.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
5,"REDMI 10A (Slate grey, 64 GB)",https://www.flipkart.com/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGDRGV2UAGZYZG&lid=LSTMOBGDRGV2UAGZYZGZ79KEA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGDRGV2UAGZYZG.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
6,"Redmi Note 11 (Space Black, 64 GB)",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCHRPUQY9AT&lid=LSTMOBGBHCHRPUQY9ATSRZPF4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGBHCHRPUQY9AT.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
7,"Redmi Note 11 (Horizon Blue, 64 GB)",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAHFYVRWZAU&lid=LSTMOBGBGAHFYVRWZAUIKTIZT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGBGAHFYVRWZAU.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
8,"Redmi Note 11 (Starburst White, 128 GB)",https://www.flipkart.com/redmi-note-11-starburst-white-128-gb/p/itm2a388ca843b21?pid=MOBGBGAYPKGYBUA2&lid=LSTMOBGBGAYPKGYBUA2VXJPFK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGBGAYPKGYBUA2.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
9,"Redmi Note 11 (Starburst White, 64 GB)",https://www.flipkart.com/redmi-note-11-starburst-white-64-gb/p/itm2a388ca843b21?pid=MOBGHXQY3QFVDXFP&lid=LSTMOBGHXQY3QFVDXFPUA5LXP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=CLP_Filters&fm=organic&iid=3b761f76-4ec1-4741-a750-5ed61f3cfcc2.MOBGHXQY3QFVDXFP.SEARCH&ppt=None&ppn=None&ssid=ilhhstv7s00000001670768219439
